- Algoritmo = LRU
- Associatividade = 16
- Acessos = 10000
- Cache = 8192
- P_tem = 0.20000000298023224
- P_espa = 0.20000000298023224
- P_reg_quente = 0.4000000059604645

Tamanho_Bloco,Taxa_Acerto
2,0.716540
4,0.728940
8,0.747090
16,0.765240
32,0.783920
64,0.784770
128,0.781840
256,0.756890
512,0.688480
