- Algoritmo = Random
- Associatividade = 128
- Acessos = 10000
- Cache = 8192
- P_tem = 0.20000000298023224
- P_espa = 0.20000000298023224
- P_reg_quente = 0.4000000059604645

Tamanho_Bloco,Taxa_Acerto
2,0.716550
4,0.729320
8,0.739780
16,0.755870
32,0.769670
64,0.764750
