- Algoritmo = FIFO
- Associatividade = 16
- Acessos = 10000
- Cache = 8192
- P_tem = 0.20000000298023224
- P_espa = 0.20000000298023224
- P_reg_quente = 0.4000000059604645

Tamanho_Bloco,Taxa_Acerto
2,0.713340
4,0.721560
8,0.730860
16,0.752640
32,0.761240
64,0.756650
128,0.732230
256,0.694560
512,0.630610
