- Algoritmo = LFU
- Associatividade = 16
- Acessos = 10000
- Cache = 8192
- P_tem = 0.20000000298023224
- P_espa = 0.20000000298023224
- P_reg_quente = 0.20000000298023224

Tamanho_Bloco,Taxa_Acerto
2,0.458750
4,0.478760
8,0.501590
16,0.534680
32,0.567410
64,0.578760
128,0.582820
256,0.584770
512,0.549310
