- Algoritmo = LRU
- Associatividade = 4
- Acessos = 10000
- Cache = 8192
- P_tem = 0.20000000298023224
- P_espa = 0.20000000298023224
- P_reg_quente = 0.20000000298023224

Tamanho_Bloco,Taxa_Acerto
2,0.378670
4,0.393320
8,0.417320
16,0.454140
32,0.487810
64,0.494590
128,0.476370
256,0.463560
512,0.445980
