- Algoritmo = LFU
- Associatividade = 128
- Acessos = 10000
- Cache = 8192
- P_tem = 0.20000000298023224
- P_espa = 0.20000000298023224
- P_reg_quente = 0.4000000059604645

Tamanho_Bloco,Taxa_Acerto
2,0.716960
4,0.732190
8,0.748750
16,0.765890
32,0.782170
64,0.792420
