- Algoritmo = Random
- Associatividade = 16
- Acessos = 10000
- Cache = 8192
- P_tem = 0.30000001192092896
- P_espa = 0.30000001192092896
- P_reg_quente = 0.30000001192092896

Tamanho_Bloco,Taxa_Acerto
2,0.803250
4,0.816940
8,0.834260
16,0.855330
32,0.869070
64,0.867980
128,0.857860
256,0.834640
512,0.773980
