- Algoritmo = LFU
- Associatividade = 16
- Acessos = 10000
- Cache = 8192
- P_tem = 0.10000000149011612
- P_espa = 0.10000000149011612
- P_reg_quente = 0.10000000149011612

Tamanho_Bloco,Taxa_Acerto
2,0.213290
4,0.222160
8,0.233710
16,0.258340
32,0.281210
64,0.287990
128,0.288540
256,0.277130
512,0.255010
