- Algoritmo = FIFO
- Associatividade = 16
- Acessos = 10000
- Cache = 8192
- P_tem = 0.20000000298023224
- P_espa = 0.20000000298023224
- P_reg_quente = 0.4000000059604645

Tamanho_Bloco,Taxa_Acerto
2,0.712150
4,0.722920
8,0.733540
16,0.748960
32,0.763660
64,0.754280
128,0.732740
256,0.694780
512,0.630540
