- Algoritmo = FIFO
- Associatividade = 16
- Acessos = 10000
- Cache = 8192
- P_tem = 0.20000000298023224
- P_espa = 0.20000000298023224
- P_reg_quente = 0.4000000059604645

Tamanho_Bloco,Taxa_Acerto
2,0.710560
4,0.717830
8,0.732760
16,0.752540
32,0.765970
64,0.755640
128,0.732790
256,0.696710
512,0.632300
